Taken by Alex and Dennis 2/20/15

AccelX, AccelY, AccelZ, Roll, Pitch, Heading
5.962, -6.590, -4.550, -41.304, 143.331, 0.000
4.197, -7.924, -3.923, -54.057, 154.606, 0.000
2.589, -8.708, -3.138, -64.960, 164.374, 0.000
4.080, -10.238, -3.217, -63.095, 159.186, 0.000
0.549, -9.689, -3.962, -67.568, 176.997, 0.000
2.079, -8.904, -3.923, -63.500, 167.939, 0.000
-0.471, -9.022, -4.236, -64.711, -177.296, 0.000
0.196, -9.257, -4.080, -66.194, 178.889, 0.000
0.157, -9.022, -3.609, -68.180, 179.075, 0.000
-0.039, -9.375, -3.099, -71.708, -179.772, 0.000
-0.314, -9.022, -3.805, -67.063, -178.164, 0.000
0.000, -9.885, -2.001, -78.559, 180.000, 0.000
-0.431, -9.297, -2.746, -73.354, -177.451, 0.000
-0.549, -9.728, -2.746, -73.942, -176.890, 0.000
-0.902, -9.650, -2.393, -75.157, -174.815, 0.000
-0.863, -9.571, -2.707, -73.468, -175.041, 0.000
-0.902, -9.571, -2.432, -74.836, -174.780, 0.000
-0.392, -9.728, -2.785, -73.875, -177.780, 0.000
-0.863, -9.336, -2.824, -72.446, -174.944, 0.000
-0.706, -9.611, -2.393, -75.448, -175.922, 0.000
-0.745, -9.336, -2.628, -73.690, -175.606, 0.000
-0.118, -9.179, -3.138, -71.113, -179.305, 0.000
-0.745, -9.061, -3.452, -68.708, -175.605, 0.000
0.118, -8.983, -3.805, -67.034, 179.309, 0.000
0.275, -9.022, -4.158, -65.209, 178.417, 0.000
0.431, -8.944, -4.236, -64.539, 177.503, 0.000
-0.157, -8.826, -4.001, -65.597, -179.072, 0.000
-0.314, -8.983, -3.805, -66.974, -178.158, 0.000
-0.314, -9.022, -3.805, -67.063, -178.164, 0.000
0.039, -9.257, -3.687, -68.281, 179.774, 0.000
-0.039, -9.061, -3.844, -67.010, -179.772, 0.000
-0.314, -9.179, -3.570, -68.675, -178.175, 0.000
-0.275, -8.865, -3.570, -68.009, -178.354, 0.000
-0.392, -9.257, -3.687, -68.171, -177.746, 0.000
-0.157, -9.454, -3.413, -70.131, -179.106, 0.000
-0.235, -9.179, -3.530, -68.920, -178.629, 0.000
-0.510, -8.983, -3.452, -68.771, -176.967, 0.000
-0.275, -9.140, -3.099, -71.202, -178.370, 0.000
-0.314, -9.257, -3.295, -70.326, -178.171, 0.000
